,date,weekday,holiday
210,14/2/40,terça-feira,Carnaval
211,30/3/40,sexta-feira,Paixão de Cristo
212,21/4/40,sábado,Tiradentes
213,1/5/40,terça-feira,Dia do Trabalho
214,31/5/40,quinta-feira,Corpus Christi
215,7/9/40,sexta-feira,Independência do Brasil
216,12/10/40,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
217,2/11/40,sexta-feira,Finados
218,15/11/40,quinta-feira,Proclamação da República
219,20/11/40,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
220,25/12/40,terça-feira,Natal
221,1/1/41,terça-feira,Confraternização Universal
222,4/3/41,segunda-feira,Carnaval
223,5/3/41,terça-feira,Carnaval
224,19/4/41,sexta-feira,Paixão de Cristo
225,21/4/41,domingo,Tiradentes
226,1/5/41,quarta-feira,Dia do Trabalho
227,20/6/41,quinta-feira,Corpus Christi
228,7/9/41,sábado,Independência do Brasil
229,12/10/41,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
230,2/11/41,sábado,Finados
231,15/11/41,sexta-feira,Proclamação da República
232,20/11/41,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
233,25/12/41,quarta-feira,Natal
234,1/1/42,quarta-feira,Confraternização Universal
235,17/2/42,segunda-feira,Carnaval
236,18/2/42,terça-feira,Carnaval
237,4/4/42,sexta-feira,Paixão de Cristo
238,21/4/42,segunda-feira,Tiradentes
239,1/5/42,quinta-feira,Dia do Trabalho
240,5/6/42,quinta-feira,Corpus Christi
241,7/9/42,domingo,Independência do Brasil
242,12/10/42,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
243,2/11/42,domingo,Finados
244,15/11/42,sábado,Proclamação da República
245,20/11/42,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
246,25/12/42,quinta-feira,Natal
247,1/1/43,quinta-feira,Confraternização Universal
248,9/2/43,segunda-feira,Carnaval
249,10/2/43,terça-feira,Carnaval
250,27/3/43,sexta-feira,Paixão de Cristo
251,21/4/43,terça-feira,Tiradentes
252,1/5/43,sexta-feira,Dia do Trabalho
253,28/5/43,quinta-feira,Corpus Christi
254,7/9/43,segunda-feira,Independência do Brasil
255,12/10/43,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
256,2/11/43,segunda-feira,Finados
257,15/11/43,domingo,Proclamação da República
258,20/11/43,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
259,25/12/43,sexta-feira,Natal
260,1/1/44,sexta-feira,Confraternização Universal
261,29/2/44,segunda-feira,Carnaval
262,1/3/44,terça-feira,Carnaval
263,15/4/44,sexta-feira,Paixão de Cristo
264,21/4/44,quinta-feira,Tiradentes
265,1/5/44,domingo,Dia do Trabalho
266,16/6/44,quinta-feira,Corpus Christi
267,7/9/44,quarta-feira,Independência do Brasil
268,12/10/44,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
269,2/11/44,quarta-feira,Finados
270,15/11/44,terça-feira,Proclamação da República
271,20/11/44,domingo,Dia Nacional de Zumbi e da Consciência Negra
272,25/12/44,domingo,Natal
273,1/1/45,domingo,Confraternização Universal
274,20/2/45,segunda-feira,Carnaval
275,21/2/45,terça-feira,Carnaval
276,7/4/45,sexta-feira,Paixão de Cristo
277,21/4/45,sexta-feira,Tiradentes
278,1/5/45,segunda-feira,Dia do Trabalho
